player_name,TS_pct,heightInCm,weightInKg
Garrett Temple,0.503,198.1,88.2
Garrison Mathews,0.726,195.6,97.5
Gary Clark,0.515,203.2,102.1
Gary Forbes,0.519,200.7,99.8
Gary Harris,0.535,193,95.3
Gary Neal,0.49,193,95.3
Gary Payton,0.505,193,84.7
Gary Payton II,0.504,190.5,86.7
Gary Trent Jr.,0.47,198.1,93.9
Geno Carlisle,0.709,190.5,90.7
George Hill,0.574,190.5,84.1
George Lynch,0.412,203.2,106.6
Georges Niang,0.473,203.2,104.4
Georgios Papagiannis,0.501,215.9,108.9
Gerald Fitch,0.424,190.5,85.3
Gerald Green,0.527,203.2,92.6
Gerald Henderson,0.51,195.6,97.5
Gerald Wallace,0.539,200.7,99.2
Gian Clavell,0.53,193,83.9
Giannis Antetokounmpo,0.584,210.8,101.9
Gigi Datome,0.498,203.2,97.5
Gilbert Arenas,0.523,193,95.9
Glen Davis,0.498,205.7,131.1
Glen Rice,0.356,198.1,93.4
Glenn Robinson,0.517,200.7,108.9
Glenn Robinson III,0.527,200.7,100.2
Goga Bitadze,0.53,210.8,113.4
Goran Dragic,0.551,193,85.8
Gordan Giricek,0.521,198.1,97.7
Gordon Hayward,0.562,203.2,99.8
Gorgui Dieng,0.563,210.8,110.6
Grant Hill,0.546,203.2,102.1
Grant Jerrett,0.303,208.3,105.2
Grant Williams,0.511,198.1,107
Grayson Allen,0.547,195.6,89.8
Greg Buckner,0.525,193,94.8
Greg Monroe,0.555,210.8,116.4
Greg Oden,0.604,213.4,127.5
Greg Ostertag,0.468,218.4,127
Greg Smith,0.61,208.3,113.4
Greg Stiemsma,0.595,210.8,117.9
Greivis Vasquez,0.481,198.1,95.8
Guerschon Yabusele,0.551,203.2,117.9
Guillermo Diaz,0.403,188,83.9
Gustavo Ayon,0.532,208.3,113.4
Ha Ha,0.52,221,138.3
Hakim Warrick,0.538,205.7,99.1
Hamady Ndiaye,0.333,213.4,106.6
Hamed Haddadi,0.514,218.4,119.2
Hamidou Diallo,0.492,195.6,90.7
Harrison Barnes,0.544,203.2,100.4
Harry Giles III,0.558,210.8,108.9
Hasheem Thabeet,0.565,221,119.7
Hassan Adams,0.465,193,99.8
Hassan Whiteside,0.507,213.4,116.8
Haywood Highsmith,0.414,200.7,99.8
Hedo Turkoglu,0.524,208.3,99.8
Henry Ellenson,0.4,210.8,110.6
Henry Sims,0.557,208.3,112.2
Henry Walker,0.58,198.1,102.5
Hilton Armstrong,0.504,210.8,106.6
Hollis Thompson,0.529,203.2,93.4
Horace Jenkins,0.414,185.4,81.6
Howard Eisley,0.458,188,83.9
Ian Clark,0.52,190.5,79.6
Ian Mahinmi,0.582,210.8,111.4
Ignas Brazdeikis,0.351,198.1,100.2
Ike Anigbogu,0.279,208.3,116.1
Ike Diogu,0.541,205.7,114.5
Iman Shumpert,0.486,195.6,99.1
Ime Udoka,0.456,195.6,99.8
Ira Newble,0.48,200.7,99.8
Isaac Bonga,0.433,203.2,81.6
Isaac Humphries,0.357,213.4,117.9
Isaiah Briscoe,0.455,190.5,97.5
Isaiah Canaan,0.518,182.9,90.1
Isaiah Hartenstein,0.618,213.4,113.2
Isaiah Hicks,0.545,205.7,107
Isaiah Taylor,0.341,190.5,77.1
Isaiah Thomas,0.552,175.3,83.9
Isaiah Whitehead,0.509,193,96.6
Ish Smith,0.454,182.9,79.4
Ivan Johnson,0.552,203.2,115.7
Ivan McFarlin,0.466,200.7,103.9
Ivan Rabb,0.593,208.3,99.8
Ivica Zubac,0.588,215.9,108.9
J.J. Barea,0.51,182.9,81.3
J.R. Giddens,0.58,195.6,97.5
Ja Morant,0.569,190.5,78.9
Jabari Bird,0.615,198.1,89.8
Jabari Brown,0.547,195.6,97.1
Jabari Parker,0.549,203.2,111.9
Jabari Smith,0.482,210.8,113.4
Jack Cooley,0.499,208.3,117.9
Jackie Butler,0.711,208.3,116.4
Jackson Vroman,0.443,208.3,99.8
Jacob Evans,0.405,198.1,95.3
Jacob Pullen,0.5,185.4,90.7
Jacob Wiley,0.41,203.2,101.2
Jacque Vaughn,0.473,185.4,86.2
Jae Crowder,0.542,198.1,106.6
Jahidi White,0.432,205.7,131.5
Jahlil Okafor,0.58,210.8,122.9
JaJuan Johnson,0.456,208.3,100.2
JaKarr Sampson,0.568,205.7,96.5
Jake Layman,0.47,205.7,95.7
Jake Tsakalidis,0.548,218.4,131.5
Jake Voskuhl,0.478,210.8,115.7
Jakob Poeltl,0.626,215.9,106
Jalen Brunson,0.551,190.5,86.2
Jalen Jones,0.517,200.7,99.8
Jalen Lecque,0.46,193,83.9
Jalen McDaniels,0.564,208.3,93
Jalen Rose,0.564,203.2,97.5
Jamaal Franklin,0.62,195.6,86.6
Jamaal Magloire,0.475,210.8,118.4
Jamaal Tinsley,0.436,190.5,86
Jamal Crawford,0.535,195.6,88.6
Jamal Murray,0.548,193,94.8
Jamal Sampson,0.576,210.8,106.6
Jamario Moon,0.505,203.2,92.1
Jameel Warney,0.599,203.2,117.9
Jameer Nelson,0.528,182.9,86.2
Jamel Artis,0.457,200.7,96.6
James Anderson,0.51,198.1,96.9
James Augustine,0.433,208.3,106.6
James Ennis III,0.58,200.7,95.5
James Harden,0.609,195.6,100
James Johnson,0.537,205.7,111.5
James Jones,0.572,203.2,98.6
James Lang,0.491,208.3,138.3
James Michael McAdoo,0.542,205.7,106.6
James Nunnally,0.472,200.7,93.7
James Posey,0.545,203.2,98.3
James Singleton,0.541,203.2,103
James Southerland,0.441,203.2,97.5
James Thomas,0.565,205.7,108.9
James Webb III,0.333,205.7,91.6
James White,0.576,200.7,93
James Young,0.475,198.1,97.5
Jamil Wilson,0.634,200.7,103.9
Jamison Brewer,0.363,193,88.5
JaMychal Green,0.566,205.7,103.2
Jan Vesely,0.507,213.4,109.2
Jannero Pargo,0.495,185.4,81.9
